id,id2,label,name,utterances,列3
q1ec1,1,ready,g,okay ,
q1ec1,2,instruct,g,starting off we are above a caravan park ,
q1ec1,3,acknowledge,f,mmhmm ,
q1ec1,4,instruct,g,we are going to go due south straight south and then we're going to g-- turn straight back round and head north past an old mill on the right hand side ,
q1ec1,5,check,f,due south and then back up again ,
q1ec1,6,reply_y,g,yeah ,
q1ec1,7,clarify,g,south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill ,
q1ec1,8,acknowledge,f,right okay ,
q1ec1,9,align,g,okay ,
q1ec1,10,instruct,g,and then we're going to turn east ,
q1ec1,11,acknowledge,f,mmhmm ,
q1ec1,12,instruct,g,not straight east slightly sort of northeast ,
q1ec1,13,check,f,s-- slightly northeast ,
q1ec1,14,reply_y,g,slightly slightly yeah ,
q1ec1,15,clarify,g,very slightly ,
q1ec1,16,instruct,g,and we're going to continue straight along erm quite a wee dis-- a wee distance erm quite a wee distance right we're going to continue along on that course ,
q1ec1,17,instruct,g,and then we're going to turn north again ,
q1ec1,18,acknowledge,f,mmhmm ,
q1ec1,19,explain,g,and immediat-- well a distance below that turning point there's a fenced meadow ,
q1ec1,20,instruct,g,but you should be avoiding that by quite a distance ,
q1ec1,21,acknowledge,f,okay ,
q1ec1,22,align,g,okay so we've turned and we're going up north again ,
q1ec1,23,reply_y,f,mmhmm ,
q1ec1,24,instruct,g,continue straight up north ,
q1ec1,25,acknowledge,f,mmhmm ,
q1ec1,26,instruct,g,and then we're going to turn to the west on a curvature right sort of ,
q1ec1,27,acknowledge,f,okay ,
q1ec1,29,acknowledge,g,s bend and immediately below that bend there is an abandoned cottage ,
q1ec1,30,explain,f,mmhmm ,
q1ec1,31,acknowledge,f,okay ,
q1ec1,32,instruct,g,and we're passing above the top of that ,
q1ec1,33,instruct,g,"we're going to continue in that sort of ""s"" shape a big wide ""s"" ",
q1ec1,34,acknowledge,f,mmhmm ,
q1ec1,35,explain,g,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow ,
q1ec1,36,instruct,g,but you're passing on the top of that ,
q1ec1,37,align,g,okay ,
q1ec1,38,reply_y,g,right okay ,
q1ec1,39,ready,f,okay ,
q1ec1,40,align,g,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah ",
q1ec1,41,reply_y,f,right ,
q1ec1,42,acknowledge,g,right ,
q1ec1,43,instruct,g,"and then at the top of the ""s"" we're turning north ",
q1ec1,44,acknowledge,f,mmhmm ,
q1ec1,45,align,g,okay ,
q1ec1,46,instruct,g,we're going straight due north ,
q1ec1,47,explain,g,at the top there there's a west lake ,
q1ec1,48,acknowledge,f,okay ,
q1ec1,49,instruct,g,which we're going to pass on the south erm southeast side ,
q1ec1,49.6,instruct,f,mmhmm ,
